epoch,train_loss,val_loss,val_acc,val_f1,val_auc_roc
1,0.120889,0.084415,0.966093,0.82142,0.985854
2,0.086748,0.077668,0.968691,0.833683,0.988301
3,0.081004,0.074356,0.96982,0.848396,0.989493
4,0.078203,0.070622,0.971187,0.850691,0.990483
5,0.076155,0.071241,0.970617,0.85085,0.990435
6,0.074761,0.068748,0.971621,0.857586,0.991291
7,0.073511,0.068871,0.971599,0.854669,0.991138
8,0.072548,0.066385,0.972562,0.858421,0.991836
9,0.071702,0.068343,0.971641,0.856215,0.991392
10,0.070926,0.066986,0.972175,0.858511,0.991751
